RASP Year,Region,Count
10/11,Africa,400
10/11,Asia,917
10/11,Europe,1030
10/11,Europe/Asia,15
10/11,North America,94
10/11,Oceania,22
10/11,South America,20
11/12,Africa,463
11/12,Asia,1108
11/12,Europe,992
11/12,Europe/Asia,11
11/12,North America,103
11/12,Oceania,14
11/12,South America,18
12/13,Africa,454
12/13,Asia,1387
12/13,Europe,1040
12/13,Europe/Asia,9
12/13,North America,100
12/13,Oceania,20
12/13,South America,17
13/14,Africa,509
13/14,Asia,1706
13/14,Europe,1064
13/14,Europe/Asia,11
13/14,North America,98
13/14,Oceania,19
13/14,South America,25
14/15,Africa,576
14/15,Asia,1885
14/15,Europe,1125
14/15,Europe/Asia,13
14/15,North America,91
14/15,Oceania,20
14/15,South America,25
15/16,Africa,580
15/16,Asia,1916
15/16,Europe,1246
15/16,Europe/Asia,15
15/16,North America,105
15/16,Oceania,19
15/16,South America,25
16/17,Africa,620
16/17,Antarctica,2
16/17,Asia,1885
16/17,Europe,1456
16/17,Europe/Asia,15
16/17,North America,134
16/17,Oceania,18
16/17,South America,30
17/18,Africa,589
17/18,Antarctica,2
17/18,Asia,1967
17/18,Europe,1621
17/18,Europe/Asia,16
17/18,North America,138
17/18,Oceania,16
17/18,South America,29
18/19,Africa,603
18/19,Asia,1918
18/19,Europe,1774
18/19,Europe/Asia,15
18/19,North America,142
18/19,Oceania,17
18/19,South America,40
19/20,Africa,708
19/20,Antarctica,1
19/20,Asia,2348
19/20,Europe,1921
19/20,Europe/Asia,13
19/20,North America,175
19/20,Oceania,20
19/20,South America,52
20/21,Africa,989
20/21,Antarctica,1
20/21,Asia,2787
20/21,Europe,1964
20/21,Europe/Asia,11
20/21,North America,189
20/21,Oceania,20
20/21,South America,54
21/22,Africa,1540
21/22,Asia,3472
21/22,Europe,1797
21/22,Europe/Asia,13
21/22,North America,202
21/22,Oceania,14
21/22,South America,52
22/23,Africa,1851
22/23,Asia,3850
22/23,Europe,1320
22/23,Europe/Asia,14
22/23,North America,163
22/23,Oceania,14
22/23,South America,46
23/24,Africa,1248
23/24,Asia,2931
23/24,Europe,726
23/24,Europe/Asia,14
23/24,North America,114
23/24,Oceania,11
23/24,South America,32
24/25,Africa,299
24/25,Asia,655
24/25,Europe,76
24/25,North America,20
24/25,Oceania,3
24/25,South America,3
