RASP Year,Region,Subregion,Nationality,Count
10/11,Africa,Central Africa,ANGOLA,6
10/11,Africa,Central Africa,CAMEROON,11
10/11,Africa,Central Africa,CHAD,1
10/11,Africa,Central Africa,CONGO,1
10/11,Africa,Central Africa,EQUATORIAL GUINEA,1
10/11,Africa,East Africa,BURUNDI,1
10/11,Africa,East Africa,ERITREA,1
10/11,Africa,East Africa,KENYA,12
10/11,Africa,East Africa,MALAWI,4
10/11,Africa,East Africa,MAURITIUS,19
10/11,Africa,East Africa,SOMALIA,19
10/11,Africa,East Africa,"TANZANIA [TANZANIA, UNITED REPUBLIC OF]",3
10/11,Africa,East Africa,UGANDA,7
10/11,Africa,East Africa,ZAMBIA,11
10/11,Africa,Eastern Africa,SEYCHELLES,1
10/11,Africa,North Africa,ALGERIA,3
10/11,Africa,North Africa,EGYPT,9
10/11,Africa,North Africa,LIBYA,10
10/11,Africa,North Africa,MOROCCO,1
10/11,Africa,North Africa,SUDAN,3
10/11,Africa,North Africa,TUNISIA,8
10/11,Africa,Southern Africa,BOTSWANA,2
10/11,Africa,Southern Africa,NAMIBIA,1
10/11,Africa,Southern Africa,SOUTH AFRICA,25
10/11,Africa,Southern Africa,ZIMBABWE,68
10/11,Africa,West Africa,BENIN,1
10/11,Africa,West Africa,COTE D'IVOIRE,1
10/11,Africa,West Africa,"GAMBIA, THE",6
10/11,Africa,West Africa,GHANA,25
10/11,Africa,West Africa,LIBERIA,1
10/11,Africa,West Africa,NIGERIA,134
10/11,Africa,West Africa,SIERRA LEONE,4
10/11,Asia,Central Asia,KAZAKHSTAN,1
10/11,Asia,Central Asia,MONGOLIA,1
10/11,Asia,Central Asia,UZBEKISTAN,1
10/11,Asia,East Asia,CHINA,135
10/11,Asia,East Asia,HONG KONG,7
10/11,Asia,East Asia,JAPAN,6
10/11,Asia,East Asia,KOREA (SOUTH),5
10/11,Asia,East Asia,"TAIWAN (TAIWAN, PROVINCE OF CHINA)",5
10/11,Asia,Middle East,BAHRAIN,2
10/11,Asia,Middle East,"IRAN (IRAN, ISLAMIC REPUBLIC OF)",20
10/11,Asia,Middle East,IRAQ,1
10/11,Asia,Middle East,JORDAN,36
10/11,Asia,Middle East,KUWAIT,5
10/11,Asia,Middle East,OCCUPIED PALESTINIAN TERRITORIES ,1
10/11,Asia,Middle East,OMAN,4
10/11,Asia,Middle East,SAUDI ARABIA,19
10/11,Asia,Middle East,SYRIA,3
10/11,Asia,Middle East,TURKEY,11
10/11,Asia,Middle East,YEMEN,1
10/11,Asia,South Asia,AFGHANISTAN,1
10/11,Asia,South Asia,BANGLADESH,32
10/11,Asia,South Asia,INDIA,180
10/11,Asia,South Asia,MALDIVES,2
10/11,Asia,South Asia,NEPAL,14
10/11,Asia,South Asia,PAKISTAN,74
10/11,Asia,South Asia,SRI LANKA,8
10/11,Asia,Southeast Asia,BRUNEI (BRUNEI DARUSSALAM),1
10/11,Asia,Southeast Asia,BURMA/MYANMAR,2
10/11,Asia,Southeast Asia,INDONESIA,2
10/11,Asia,Southeast Asia,LAOS,1
10/11,Asia,Southeast Asia,MALAYSIA,216
10/11,Asia,Southeast Asia,PHILIPPINES,9
10/11,Asia,Southeast Asia,SINGAPORE,13
10/11,Asia,Southeast Asia,THAILAND,15
10/11,Asia,Southeast Asia,VIETNAM,83
10/11,Europe,Eastern Europe,BELARUS,3
10/11,Europe,Eastern Europe,BOSNIA & HERZEGOVINA,2
10/11,Europe,Eastern Europe,BULGARIA,17
10/11,Europe,Eastern Europe,CYPRUS (NOT OTHERWISE SPECIFIED),27
10/11,Europe,Eastern Europe,CYPRUS EU,49
10/11,Europe,Eastern Europe,CZECH REPUBLIC,14
